Source,Target,Weight,Season
段正淳,馬五德,2,1
段正淳,辛雙清,1,1
段正淳,左子穆,1,1
黃眉僧,馬五德,1,1
黃眉僧,辛雙清,1,1
黃眉僧,左子穆,1,1
馬五德,巴天石,1,1
馬五德,辛雙清,1,1
巴天石,辛雙清,1,1
巴天石,左子穆,1,1
葉二娘,辛雙清,1,1
黃眉僧,破痴,1,1
破痴,破嗔,1,1
刀白鳳,馬五德,1,1
刀白鳳,鍾靈,4,1
鍾靈,巴天石,16,1
木婉清,范驊,5,1
木婉清,華赫艮,4,1
鍾靈,段正淳,16,1
雲中鶴,鍾靈,20,1
雲中鶴,黃眉僧,7,1
鍾靈,黃眉僧,4,1
岳老三,雲中鶴,6,1
木婉清,巴天石,25,1
段延慶,黃眉僧,6,1
段延慶,華赫艮,8,1
刀白鳳,華赫艮,1,1
段正淳,華赫艮,14,1
過彥之,段正淳,14,1
過彥之,柯百歲,4,1
段正淳,柯百歲,2,1
崔百泉,過彥之,38,1
崔百泉,段正淳,18,1
段正淳,喬峰,5,1
崔百泉,段譽,22,1
慧真,段正淳,8,1
慧真,慧觀,10,1
段正淳,慧觀,6,1
崔百泉,慧真,4,1
崔百泉,慧觀,4,1
過彥之,慧真,4,1
過彥之,慧觀,4,1
慧真,玄悲,7,1
慧真,黃眉僧,4,1
慧真,段譽,4,1
慧真,玄慈,2,1
玄悲,段正淳,9,1
玄悲,黃眉僧,4,1
玄悲,段譽,11,1
玄悲,慧觀,3,1
玄悲,玄慈,9,1
段正淳,玄慈,3,1
黃眉僧,慧觀,3,1
黃眉僧,玄慈,1,1
段譽,慧觀,3,1
段譽,玄慈,3,1
慧觀,玄慈,2,1
段延慶,玄悲,2,1
段延慶,段正淳,53,1
五葉大師,慧真,1,1
五葉大師,慧觀,1,1
五葉大師,玄悲,1,1
五葉大師,段正淳,1,1
五葉大師,黃眉僧,1,1
黃眉僧,慕容博,2,1
段譽,慕容博,7,1
章虛道人,駱氏三雄,1,1
章虛道人,慕容博,1,1
駱氏三雄,慕容博,1,1
過彥之,段譽,11,1
段譽,柯百歲,4,1
崔百泉,玄悲,2,1
過彥之,玄悲,2,1
崔百泉,黃眉僧,9,1
過彥之,黃眉僧,2,1
崔百泉,慕容博,5,1
過彥之,慕容博,2,1
段正淳,慕容博,2,1
慧觀,慕容博,1,1
崔百泉,蔡慶圖,2,1
過彥之,蔡慶圖,1,1
慧真,巴天石,1,1
玄悲,巴天石,4,1
慧觀,巴天石,1,1
巴天石,玄慈,2,1
刀白鳳,黃眉僧,1,1
褚萬里,甘寶寶,1,1
褚萬里,鍾靈,1,1
木婉清,慕容博,1,1
雲中鶴,慕容博,1,1
鍾靈,慕容博,1,1
岳老三,鍾靈,6,1
岳老三,段延慶,4,1
岳老三,鍾萬仇,1,1
段延慶,雲中鶴,15,1
段延慶,鍾萬仇,2,1
段延慶,葉二娘,9,1
鍾靈,葉二娘,5,1
鍾靈,崔百泉,3,1
鍾萬仇,崔百泉,6,1
雲中鶴,崔百泉,4,1
崔百泉,葉二娘,2,1
葉二娘,黃眉僧,6,1
木婉清,崔百泉,1,1
木婉清,過彥之,1,1
木婉清,慧真,1,1
木婉清,慧觀,1,1
秦紅棉,崔百泉,2,1
秦紅棉,過彥之,2,1
秦紅棉,慧真,1,1
秦紅棉,慧觀,1,1
丁春秋,段譽,27,1
本因,段譽,16,1
本因,本相,14,1
本因,本參,16,1
本因,本觀,18,1
本相,本參,11,1
本相,段譽,8,1
本相,本觀,10,1
本參,段譽,9,1
本參,本觀,14,1
段譽,本觀,9,1
本因,枯榮,23,1
本因,鳩摩智,27,1
本因,慕容博,1,1
鳩摩智,慕容博,15,1
枯榮,本參,7,1
枯榮,段譽,20,1
枯榮,本觀,8,1
本因,本塵,4,1
枯榮,本塵,5,1
本相,本塵,2,1
本參,本塵,2,1
本塵,本觀,2,1
本因,段延慶,1,1
本因,雲中鶴,1,1
本因,鍾萬仇,1,1
本因,崔百泉,1,1
本因,葉二娘,1,1
本因,黃眉僧,1,1
段延慶,本相,1,1
段延慶,崔百泉,4,1
段延慶,本參,1,1
段延慶,段譽,58,1
段延慶,本觀,1,1
雲中鶴,本相,1,1
雲中鶴,本參,1,1
雲中鶴,本觀,1,1
本相,鍾萬仇,1,1
本相,崔百泉,1,1
本相,葉二娘,1,1
本相,黃眉僧,1,1
鍾萬仇,本參,1,1
鍾萬仇,本觀,1,1
崔百泉,本參,1,1
崔百泉,本觀,1,1
葉二娘,本參,1,1
葉二娘,本觀,1,1
本參,黃眉僧,1,1
